,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
278,"[0.0, 239.0, 3.8182979668925676, 8.8336475743914171, 45993, 0.0, 1.0, 4.0, 16.0]","[-2, 12365, 112.78309783097831, 420.78808952517329, 0, 0.0, 2, 34.0, 574.0]","[0.0, 65535.0, 28.745737631087948, 495.04944422979696, 22284, 2.0, 6.0, 16.0, 69.0]","[0.0, 330.0, 6.9574205809086003, 8.3515420362821882, 22121, 2.0, 4.0, 9.0, 24.0]","[0.0, 2476634.0, 18235.457711290586, 69292.06080913941, 1935, 240.0, 2501.0, 9600.25, 61838.949999999939]","[0.0, 28238.0, 106.55906581313748, 317.45781078202242, 20486, 7.0, 30.0, 95.0, 434.0]","[0.0, 3725.0, 15.374686729823321, 54.681010051011384, 3836, 1.0, 3.0, 11.0, 62.0]","[0.0, 3787.0, 13.051376715892264, 21.823284981009184, 51, 2.0, 8.0, 20.0, 42.0]","[0.0, 13840.0, 100.64358433077172, 213.89520332718621, 3836, 10.0, 37.0, 105.0, 404.0]","[0.0, 7.0, 0.75213865126097101, 0.71799038519835412, 45993, 0.0, 1.0, 1.0, 2.0]","[0.0, 146.0, 2.6682611815355179, 4.9167146873941352, 3836, 1.0, 1.0, 3.0, 10.0]","[0.0, 187.0, 1.2526768400640755, 5.4510768339997622, 76277, 0.0, 0.0, 1.0, 5.0]","[0.0, 815.0, 7.670381879349752, 11.300762790978292, 22121, 2.0, 4.0, 10.0, 27.0]","['05db9164', 0.50237, 99999, 538]","['38a947a1', 0.10564, 99999, 510]","['d032c263', 0.02708, 96787, 43281]","['c18be181', 0.03577, 96787, 23805]","['25c83c98', 0.67131, 99999, 146]","['7e0ccccf', 0.37202, 91036, 12]","['1c86e0eb', 0.01451, 99999, 7813]","['0b153874', 0.59288, 99999, 250]","['a73ee510', 0.90703, 99999, 3]","['3b08e48b', 0.22238, 99999, 11476]","['755e4a50', 0.0234, 99999, 3849]","['dfbb09fb', 0.02708, 96787, 39334]","['7aab7990', 0.02463, 99999, 2814]","['07d13a8f', 0.34438, 99999, 26]","['d345b1a0', 0.0122, 99999, 5198]","['84898b2a', 0.02708, 96787, 32756]","['e5ba7672', 0.46271, 99999, 10]","['e88ffc9d', 0.0386, 99999, 2550]","['21ddcdc9', 0.33455, 54336, 1241]","['a458ea53', 0.18568, 54336, 3]","['0014c32a', 0.02708, 96787, 36267]","['ad3062eb', 0.18647, 27931, 10]","['32c7478e', 0.38963, 99999, 14]","['3fdb382b', 0.05432, 96787, 11429]","['001f3601', 0.13742, 54336, 47]","['49d68486', 0.04327, 54336, 8783]"
279,"[0.0, 1199.0, 3.8149655017249136, 10.663128695428025, 46663, 0.0, 1.0, 4.0, 16.0]","[-2, 11114, 106.35943359433594, 393.82647834380572, 0, 0.0, 2, 33.0, 518.09999999999127]","[0.0, 65535.0, 26.731658420612991, 437.86318720770589, 22184, 2.0, 6.0, 17.0, 70.0]","[0.0, 210.0, 6.9276235342575072, 8.1771983358405009, 22308, 2.0, 4.0, 9.0, 24.0]","[0.0, 2036111.0, 18615.571361578925, 69382.843570189798, 1907, 262.75, 2554.0, 9790.0, 66220.849999999962]","[0.0, 16072.0, 106.74095959595959, 287.2960828558613, 20799, 7.0, 30.0, 95.0, 439.0]","[0.0, 4111.0, 15.745884773662551, 60.005498648242721, 3771, 1.0, 3.0, 11.0, 62.0]","[0.0, 445.0, 12.918537639572579, 13.647098456508742, 51, 2.0, 8.0, 20.0, 42.0]","[0.0, 7530.0, 100.19747890426903, 203.25816351260312, 3771, 10.0, 36.0, 105.0, 407.0]","[0.0, 7.0, 0.75067496625168739, 0.71931755858806179, 46663, 0.0, 1.0, 1.0, 2.0]","[0.0, 112.0, 2.6564617367086503, 4.9877413320434565, 3771, 1.0, 1.0, 3.0, 10.0]","[0.0, 234.0, 1.2403978052126201, 5.6599220173233382, 76671, 0.0, 0.0, 1.0, 5.0]","[0.0, 284.0, 7.6020774607097348, 10.084921451526425, 22308, 2.0, 4.0, 10.0, 27.0]","['05db9164', 0.50008, 99999, 544]","['38a947a1', 0.10394, 99999, 507]","['d032c263', 0.02771, 96918, 43528]","['c18be181', 0.03634, 96918, 24296]","['25c83c98', 0.67374, 99999, 138]","['7e0ccccf', 0.37161, 90913, 12]","['1c86e0eb', 0.01603, 99999, 7815]","['0b153874', 0.59459, 99999, 266]","['a73ee510', 0.90418, 99999, 3]","['3b08e48b', 0.22472, 99999, 11500]","['755e4a50', 0.02452, 99999, 3866]","['dfbb09fb', 0.02771, 96918, 39757]","['5978055e', 0.02452, 99999, 2835]","['07d13a8f', 0.33985, 99999, 26]","['d345b1a0', 0.01305, 99999, 5133]","['84898b2a', 0.02771, 96918, 33120]","['e5ba7672', 0.46178, 99999, 10]","['e88ffc9d', 0.04004, 99999, 2500]","['21ddcdc9', 0.33572, 55127, 1270]","['a458ea53', 0.18899, 55127, 3]","['0014c32a', 0.02771, 96918, 36659]","['ad3062eb', 0.18758, 27783, 11]","['32c7478e', 0.38969, 99999, 14]","['3fdb382b', 0.05479, 96918, 11620]","['001f3601', 0.13143, 55127, 51]","['49d68486', 0.04372, 55127, 8826]"
280,"[0.0, 860.0, 3.8499962833568722, 9.8259246027307618, 46187, 0.0, 1.0, 4.0, 16.0]","[-2, 16277, 107.82967829678297, 405.01402627321079, 0, 0.0, 2, 32.0, 534.0]","[0.0, 65535.0, 25.946111632330449, 433.06160301751277, 22190, 2.0, 6.0, 17.0, 72.0]","[0.0, 96.0, 6.9178481208434297, 8.1476479419360928, 22411, 2.0, 4.0, 9.0, 24.0]","[0.0, 1952588.0, 18237.061700304064, 68324.995728127557, 1993, 269.0, 2558.0, 9806.0, 63270.0]","[0.0, 53730.0, 108.37690345715801, 353.90567041130237, 20801, 7.0, 31.0, 97.0, 448.0]","[0.0, 4211.0, 15.426184162637133, 60.27452528595493, 3834, 1.0, 3.0, 11.0, 61.0]","[0.0, 488.0, 12.929857914748849, 13.669657909535109, 59, 2.0, 8.0, 20.0, 42.0]","[0.0, 8987.0, 100.9377008267041, 207.97365935767778, 3834, 10.0, 37.0, 105.0, 407.0]","[0.0, 7.0, 0.7555563814762507, 0.72443819694559308, 46187, 0.0, 1.0, 1.0, 2.0]","[0.0, 154.0, 2.6188738106379659, 4.787782840047857, 3834, 1.0, 1.0, 3.0, 10.0]","[0.0, 348.0, 1.2596952315726393, 5.9310256769525722, 76637, 0.0, 0.0, 1.0, 5.0]","[0.0, 502.0, 7.6555524050110844, 10.292087773950252, 22411, 2.0, 4.0, 10.0, 27.0]","['05db9164', 0.50092, 99999, 552]","['38a947a1', 0.10546, 99999, 503]","['d032c263', 0.02729, 96950, 43777]","['c18be181', 0.03553, 96950, 24255]","['25c83c98', 0.66988, 99999, 137]","['7e0ccccf', 0.37639, 91025, 12]","['1c86e0eb', 0.01522, 99999, 7810]","['0b153874', 0.59375, 99999, 252]","['a73ee510', 0.90435, 99999, 3]","['3b08e48b', 0.22103, 99999, 11550]","['755e4a50', 0.02327, 99999, 3858]","['dfbb09fb', 0.02729, 96950, 40083]","['5978055e', 0.02327, 99999, 2826]","['07d13a8f', 0.3419, 99999, 25]","['d345b1a0', 0.01241, 99999, 5148]","['84898b2a', 0.02729, 96950, 33391]","['e5ba7672', 0.46308, 99999, 10]","['e88ffc9d', 0.03922, 99999, 2508]","['21ddcdc9', 0.33578, 55186, 1270]","['a458ea53', 0.18992, 55186, 3]","['0014c32a', 0.02729, 96950, 36999]","['ad3062eb', 0.1837, 27489, 9]","['32c7478e', 0.38909, 99999, 14]","['3fdb382b', 0.05543, 96950, 11562]","['001f3601', 0.13301, 55186, 48]","['49d68486', 0.0443, 55186, 8899]"
281,"[0.0, 582.0, 3.8634256266277545, 10.345296566697622, 45860, 0.0, 1.0, 4.0, 16.0]","[-2, 11200, 107.70400704007039, 403.67686042080317, 0, 0.0, 2, 33.0, 526.0]","[0.0, 65535.0, 29.446981175685046, 475.20113983923619, 22121, 2.0, 6.0, 16.0, 72.0]","[0.0, 124.0, 6.8626152147680299, 8.0153034334879472, 22101, 2.0, 4.0, 9.0, 24.0]","[0.0, 1936657.0, 18175.985065796183, 68859.748529271819, 1969, 249.0, 2561.0, 9768.0, 60734.650000000009]","[0.0, 20278.0, 107.55911214657432, 290.56497882074621, 21022, 7.0, 30.0, 96.0, 443.0]","[0.0, 4206.0, 15.409309874834831, 63.107028966154928, 3886, 1.0, 3.0, 11.0, 59.0]","[0.0, 732.0, 12.919410034221217, 14.010246610981532, 61, 2.0, 8.0, 20.0, 42.0]","[0.0, 7585.0, 101.40216203843393, 212.4529713290429, 3886, 10.0, 36.0, 104.0, 408.0]","[0.0, 7.0, 0.70586822807957295, 0.71780454987860542, 45860, 0.0, 1.0, 1.0, 2.0]","[0.0, 127.0, 2.6145162465015139, 4.9051790438464078, 3886, 1.0, 1.0, 3.0, 10.0]","[0.0, 189.0, 1.1889633525619274, 5.2218042260262258, 76423, 0.0, 0.0, 1.0, 5.0]","[0.0, 390.0, 7.61518909342987, 10.372832650329221, 22101, 2.0, 4.0, 10.0, 27.0]","['05db9164', 0.50053, 99999, 541]","['38a947a1', 0.10283, 99999, 507]","['d032c263', 0.02694, 96804, 43687]","['c18be181', 0.03605, 96804, 24002]","['25c83c98', 0.67208, 99999, 136]","['7e0ccccf', 0.37395, 90545, 11]","['1c86e0eb', 0.01541, 99999, 7785]","['0b153874', 0.59406, 99999, 230]","['a73ee510', 0.90642, 99999, 3]","['3b08e48b', 0.21921, 99999, 11524]","['755e4a50', 0.02358, 99999, 3847]","['dfbb09fb', 0.02694, 96804, 39707]","['5978055e', 0.02358, 99999, 2822]","['07d13a8f', 0.34663, 99999, 26]","['3628a186', 0.01277, 99999, 5126]","['84898b2a', 0.02694, 96804, 33147]","['e5ba7672', 0.45952, 99999, 10]","['e88ffc9d', 0.03802, 99999, 2493]","['21ddcdc9', 0.33491, 54501, 1259]","['b1252a9d', 0.18338, 54501, 3]","['0014c32a', 0.02694, 96804, 36651]","['ad3062eb', 0.17803, 27231, 12]","['32c7478e', 0.40031, 99999, 14]","['3fdb382b', 0.05406, 96804, 11384]","['001f3601', 0.13769, 54501, 48]","['49d68486', 0.04257, 54501, 8788]"
282,"[0.0, 317.0, 3.7207403979639055, 9.1353757734663539, 45974, 0.0, 1.0, 4.0, 16.0]","[-2, 13426, 106.56254562545625, 403.4084939039372, 0, 0.0, 2, 33.0, 513.0]","[0.0, 65535.0, 23.494492895513158, 392.37022482207141, 22372, 2.0, 6.0, 16.0, 71.0]","[0.0, 175.0, 6.8855290190035952, 8.1238175131110797, 22119, 2.0, 4.0, 9.0, 24.0]","[0.0, 2001784.0, 18832.139286989339, 70645.030001058461, 1964, 241.0, 2556.0, 9783.5, 66098.600000000006]","[0.0, 59143.0, 109.10294117647059, 358.09614694561509, 21255, 7.0, 31.0, 96.0, 449.0]","[0.0, 5946.0, 15.283584732697197, 61.163087451122784, 4003, 1.0, 3.0, 11.0, 60.0]","[0.0, 385.0, 12.909447479538132, 13.593210896346639, 57, 2.0, 8.0, 20.0, 42.0]","[0.0, 5952.0, 99.743801825076048, 203.37832518224747, 4003, 10.0, 37.0, 104.0, 403.0]","[0.0, 7.0, 0.58080518278574733, 0.65199540759391872, 45974, 0.0, 1.0, 1.0, 2.0]","[0.0, 141.0, 2.6187445310221258, 4.8967988313421529, 4003, 1.0, 1.0, 3.0, 10.0]","[0.0, 189.0, 1.2125793126942894, 5.5129552341714101, 76516, 0.0, 0.0, 1.0, 5.0]","[0.0, 535.0, 7.6875449409347718, 10.956364378612665, 22119, 2.0, 4.0, 10.0, 27.0]","['05db9164', 0.50174, 99999, 542]","['38a947a1', 0.10383, 99999, 506]","['d032c263', 0.02526, 96900, 43986]","['c18be181', 0.03426, 96900, 24235]","['25c83c98', 0.67163, 99999, 131]","['7e0ccccf', 0.37325, 90668, 13]","['1c86e0eb', 0.01576, 99999, 7774]","['0b153874', 0.59401, 99999, 255]","['a73ee510', 0.90444, 99999, 3]","['3b08e48b', 0.21585, 99999, 11609]","['755e4a50', 0.02394, 99999, 3870]","['dfbb09fb', 0.02526, 96900, 39840]","['5978055e', 0.02394, 99999, 2829]","['07d13a8f', 0.3418, 99999, 25]","['2d0bb053', 0.01467, 99999, 5129]","['84898b2a', 0.02526, 96900, 33287]","['e5ba7672', 0.46019, 99999, 10]","['e88ffc9d', 0.03754, 99999, 2519]","['21ddcdc9', 0.34246, 55274, 1274]","['b1252a9d', 0.18477, 55274, 3]","['0014c32a', 0.02526, 96900, 36832]","['ad3062eb', 0.17627, 26940, 10]","['32c7478e', 0.40091, 99999, 14]","['3fdb382b', 0.05302, 96900, 11586]","['001f3601', 0.14442, 55274, 50]","['49d68486', 0.04175, 55274, 8906]"
283,"[0.0, 662.0, 3.8643231918719989, 10.257742585415421, 46062, 0.0, 1.0, 4.0, 16.0]","[-2, 9739, 103.82156821568216, 386.67957488635136, 0, 0.0, 2, 33.0, 500.0]","[0.0, 27508.0, 23.465550086300581, 292.28001486560709, 21784, 2.0, 6.0, 17.0, 71.0]","[0.0, 161.0, 6.9604587909268192, 8.1882889123042002, 22055, 2.0, 4.0, 9.0, 24.0]","[0.0, 2043012.0, 18084.366949550174, 68074.300758290308, 1961, 240.0, 2541.0, 9763.0, 63632.0]","[0.0, 58162.0, 106.19659256444361, 342.21413374828938, 21054, 8.0, 31.0, 96.0, 440.0]","[0.0, 4819.0, 15.449383152682714, 61.926963954140511, 3865, 1.0, 3.0, 11.0, 60.0]","[0.0, 706.0, 12.944030336078121, 13.91122608007532, 52, 2.0, 8.0, 20.0, 42.0]","[0.0, 7565.0, 99.798968107017288, 203.65434782976368, 3865, 10.0, 37.0, 103.0, 404.34999999999127]","[0.0, 6.0, 0.58955818825666984, 0.6550813292835197, 46062, 0.0, 1.0, 1.0, 2.0]","[0.0, 113.0, 2.6393471612540829, 4.9150426400695713, 3865, 1.0, 1.0, 3.0, 10.0]","[0.0, 230.0, 1.1748784098117995, 5.9024161350593314, 76354, 0.0, 0.0, 1.0, 4.0]","[0.0, 607.0, 7.7803679564815766, 10.964188375009567, 22055, 2.0, 4.0, 10.0, 28.0]","['05db9164', 0.50476, 99999, 519]","['38a947a1', 0.10225, 99999, 509]","['d032c263', 0.02595, 96772, 44224]","['c18be181', 0.03416, 96772, 24304]","['25c83c98', 0.66963, 99999, 151]","['7e0ccccf', 0.37197, 90640, 11]","['1c86e0eb', 0.0166, 99999, 7737]","['0b153874', 0.59456, 99999, 264]","['a73ee510', 0.90579, 99999, 3]","['3b08e48b', 0.21853, 99999, 11552]","['755e4a50', 0.02539, 99999, 3856]","['dfbb09fb', 0.02595, 96772, 40141]","['5978055e', 0.02539, 99999, 2817]","['b28479f6', 0.34156, 99999, 25]","['2d0bb053', 0.01396, 99999, 5033]","['84898b2a', 0.02595, 96772, 33416]","['e5ba7672', 0.46213, 99999, 10]","['e88ffc9d', 0.03874, 99999, 2495]","['21ddcdc9', 0.33955, 55627, 1261]","['a458ea53', 0.19074, 55627, 3]","['0014c32a', 0.02595, 96772, 37067]","['ad3062eb', 0.17823, 27100, 8]","['32c7478e', 0.39914, 99999, 14]","['3fdb382b', 0.05519, 96772, 11774]","['001f3601', 0.14268, 55627, 48]","['49d68486', 0.04336, 55627, 9016]"
284,"[0.0, 381.0, 3.8063486272005838, 9.3869879782720513, 45184, 0.0, 1.0, 4.0, 16.0]","[-2, 9140, 102.76152761527615, 381.48531964214885, 0, 0.0, 2, 32.0, 491.0]","[0.0, 27885.0, 30.484457756980511, 504.24027089285414, 22211, 2.0, 6.0, 17.0, 74.0]","[0.0, 229.0, 6.9587814542273456, 8.2622941469440665, 22267, 2.0, 4.0, 9.0, 24.0]","[0.0, 1735289.0, 17651.40707133598, 65307.554359618487, 2026, 221.0, 2466.0, 9542.0, 61663.599999999948]","[0.0, 63362.0, 106.07917914502698, 365.96803156791464, 20862, 7.0, 30.0, 95.0, 435.0]","[0.0, 3852.0, 15.38277736131934, 54.246986822818229, 3951, 1.0, 3.0, 11.0, 62.0]","[0.0, 3627.0, 13.037937451227565, 18.325567380825323, 45, 2.0, 8.0, 20.0, 42.0]","[0.0, 9296.0, 99.790261119440274, 207.77227923481777, 3951, 10.0, 36.0, 103.0, 406.0]","[0.0, 7.0, 0.60169661588981116, 0.6623435007268702, 45184, 0.0, 1.0, 1.0, 2.0]","[0.0, 115.0, 2.6661356821589206, 4.9022884203740684, 3951, 1.0, 1.0, 3.0, 10.0]","[0.0, 155.0, 1.2090301714966594, 5.8413255780874058, 76500, 0.0, 0.0, 1.0, 4.0]","[0.0, 1073.0, 7.7975479853856839, 12.280829998852049, 22267, 2.0, 4.0, 10.0, 28.0]","['05db9164', 0.49731, 99999, 527]","['38a947a1', 0.10814, 99999, 512]","['d032c263', 0.02518, 96850, 44413]","['c18be181', 0.03402, 96850, 24302]","['25c83c98', 0.67081, 99999, 145]","['7e0ccccf', 0.37316, 90565, 11]","['1c86e0eb', 0.01654, 99999, 7773]","['0b153874', 0.59398, 99999, 259]","['a73ee510', 0.90695, 99999, 3]","['3b08e48b', 0.21707, 99999, 11480]","['755e4a50', 0.02551, 99999, 3857]","['dfbb09fb', 0.02518, 96850, 40279]","['5978055e', 0.02551, 99999, 2834]","['07d13a8f', 0.34117, 99999, 26]","['2d0bb053', 0.01364, 99999, 5087]","['84898b2a', 0.02518, 96850, 33485]","['e5ba7672', 0.45856, 99999, 9]","['e88ffc9d', 0.03865, 99999, 2501]","['21ddcdc9', 0.33627, 54815, 1261]","['b1252a9d', 0.18637, 54815, 3]","['0014c32a', 0.02518, 96850, 37157]","['ad3062eb', 0.17519, 26785, 10]","['32c7478e', 0.40164, 99999, 14]","['3fdb382b', 0.05435, 96850, 11508]","['001f3601', 0.14092, 54815, 52]","['49d68486', 0.04289, 54815, 8834]"
285,"[0.0, 717.0, 3.7552321628723151, 9.4337673144168868, 45576, 0.0, 1.0, 4.0, 16.0]","[-2, 12945, 103.7470174701747, 388.18730835539554, 0, 0.0, 2, 33.0, 500.0]","[0.0, 27611.0, 29.58293948126801, 434.91730297343986, 21924, 2.0, 6.0, 17.0, 75.0]","[0.0, 162.0, 7.0217310478339465, 8.3401448689277853, 22000, 2.0, 4.0, 9.0, 24.0]","[0.0, 2379936.0, 18135.923600620587, 68425.476231380133, 2027, 217.0, 2517.0, 9770.0, 64558.649999999892]","[0.0, 24353.0, 108.16117600901117, 297.01311229114793, 20986, 7.0, 30.0, 96.0, 445.0]","[0.0, 6824.0, 15.404462677398195, 61.918474604666805, 3958, 1.0, 3.0, 11.0, 61.0]","[0.0, 311.0, 12.926741905791012, 13.475905314860714, 51, 2.0, 8.0, 20.0, 42.0]","[0.0, 6470.0, 100.0817463375017, 203.24758331908131, 3958, 10.0, 37.0, 104.0, 405.0]","[0.0, 7.0, 0.61163478676294947, 0.6652589103155615, 45576, 0.0, 1.0, 1.0, 2.0]","[0.0, 109.0, 2.6527108214200186, 4.8950804856117394, 3958, 1.0, 1.0, 3.0, 10.0]","[0.0, 268.0, 1.2375180743386918, 6.2507617417135704, 76485, 0.0, 0.0, 1.0, 5.0]","[0.0, 432.0, 7.7419966922652854, 10.659297844951501, 22000, 2.0, 4.0, 10.0, 28.0]","['05db9164', 0.5018, 99999, 537]","['38a947a1', 0.10935, 99999, 503]","['d032c263', 0.02526, 96925, 44191]","['c18be181', 0.03335, 96925, 24114]","['25c83c98', 0.67462, 99999, 134]","['7e0ccccf', 0.37281, 90752, 12]","['1c86e0eb', 0.01735, 99999, 7796]","['0b153874', 0.59424, 99999, 257]","['a73ee510', 0.90572, 99999, 3]","['3b08e48b', 0.21933, 99999, 11446]","['755e4a50', 0.02623, 99999, 3826]","['dfbb09fb', 0.02526, 96925, 40021]","['5978055e', 0.02623, 99999, 2829]","['b28479f6', 0.34326, 99999, 26]","['2d0bb053', 0.01639, 99999, 5121]","['84898b2a', 0.02527, 96925, 33292]","['e5ba7672', 0.46391, 99999, 10]","['e88ffc9d', 0.03691, 99999, 2523]","['21ddcdc9', 0.33894, 54885, 1276]","['b1252a9d', 0.18583, 54885, 3]","['0014c32a', 0.02526, 96925, 36948]","['ad3062eb', 0.17731, 26872, 9]","['32c7478e', 0.40115, 99999, 14]","['3fdb382b', 0.0547, 96925, 11301]","['001f3601', 0.14243, 54885, 46]","['49d68486', 0.04314, 54885, 8576]"
286,"[0.0, 291.0, 3.8178832116788319, 8.8171140568277959, 45199, 0.0, 1.0, 4.0, 16.0]","[-2, 10835, 105.42400424004241, 392.64508852844847, 0, 0.0, 2, 32.0, 520.0]","[0.0, 65535.0, 25.305616487272356, 346.33366942174388, 21587, 2.0, 6.0, 17.0, 75.0]","[0.0, 244.0, 7.1129198933442197, 8.4321597762255855, 21616, 2.0, 4.0, 9.0, 24.0]","[0.0, 1821551.0, 17948.207990527324, 67473.999971919591, 2033, 211.0, 2468.0, 9560.75, 61979.25]","[0.0, 14651.0, 106.92904479985862, 291.39624117793232, 20780, 7.0, 30.0, 95.0, 437.0]","[0.0, 4628.0, 15.840794520263177, 60.288255516466243, 3790, 1.0, 3.0, 11.0, 64.0]","[0.0, 576.0, 13.004031894990646, 13.842080164463624, 46, 2.0, 8.0, 20.0, 42.0]","[0.0, 8877.0, 100.30035651550271, 206.63607397345845, 3790, 10.0, 37.0, 104.0, 404.0]","[0.0, 7.0, 0.62436131386861315, 0.67324970301678566, 45199, 0.0, 1.0, 1.0, 2.0]","[0.0, 131.0, 2.7001527923583031, 4.9984905502140426, 3790, 1.0, 1.0, 3.0, 10.0]","[0.0, 376.0, 1.2419135750063672, 6.7914191860839184, 76441, 0.0, 0.0, 1.0, 5.0]","[0.0, 285.0, 7.8292869627342663, 10.730865395415465, 21616, 2.0, 4.0, 10.0, 28.0]","['05db9164', 0.49952, 99999, 533]","['38a947a1', 0.11066, 99999, 510]","['d032c263', 0.02552, 96713, 44266]","['c18be181', 0.03306, 96713, 24444]","['25c83c98', 0.67201, 99999, 136]","['7e0ccccf', 0.37731, 90616, 12]","['1c86e0eb', 0.01826, 99999, 7751]","['0b153874', 0.59573, 99999, 259]","['a73ee510', 0.90545, 99999, 3]","['3b08e48b', 0.21944, 99999, 11457]","['755e4a50', 0.02797, 99999, 3864]","['dfbb09fb', 0.02552, 96713, 40329]","['5978055e', 0.02797, 99999, 2838]","['07d13a8f', 0.3435, 99999, 26]","['2d0bb053', 0.0148, 99999, 5122]","['84898b2a', 0.02552, 96713, 33631]","['e5ba7672', 0.46113, 99999, 10]","['e88ffc9d', 0.03648, 99999, 2481]","['21ddcdc9', 0.34309, 55766, 1266]","['b1252a9d', 0.18765, 55766, 3]","['0014c32a', 0.02552, 96713, 37280]","['ad3062eb', 0.17502, 26692, 10]","['32c7478e', 0.39963, 99999, 14]","['3fdb382b', 0.0535, 96713, 11589]","['001f3601', 0.14133, 55766, 52]","['49d68486', 0.04212, 55766, 8854]"
287,"[0.0, 433.0, 3.8864075348135612, 9.6363549712838932, 45638, 0.0, 1.0, 4.0, 16.0]","[-2, 10253, 107.06361063610636, 396.82032335946212, 0, 0.0, 2, 33.0, 538.0]","[0.0, 18353.0, 22.344649418248622, 180.23946871281984, 21615, 2.0, 6.0, 18.0, 77.0]","[0.0, 338.0, 7.1330156255988957, 8.462894771129724, 21730, 2.0, 4.0, 9.0, 25.0]","[0.0, 1984626.0, 18339.034982447545, 70068.543644323072, 2007, 213.0, 2491.0, 9702.5, 61804.899999999994]","[0.0, 22431.0, 106.47601634217693, 297.13061429154618, 20695, 7.0, 30.0, 95.0, 432.0]","[0.0, 5031.0, 16.149596640053225, 61.913157984105446, 3807, 1.0, 3.0, 11.0, 64.0]","[0.0, 406.0, 12.837728864432217, 13.39700436309303, 49, 2.0, 8.0, 20.0, 42.0]","[0.0, 13669.0, 101.80112691284099, 216.50331410375833, 3807, 10.0, 36.0, 105.0, 412.0]","[0.0, 7.0, 0.63574989422563966, 0.68041134346273557, 45638, 0.0, 1.0, 1.0, 2.0]","[0.0, 124.0, 2.7262350299401197, 5.1388479491331713, 3807, 1.0, 1.0, 3.0, 10.0]","[0.0, 442.0, 1.2207935967302452, 6.4477917270207419, 76511, 0.0, 0.0, 1.0, 5.0]","[0.0, 747.0, 7.8882699408450341, 11.37922279014348, 21730, 2.0, 4.0, 10.0, 28.0]","['05db9164', 0.50171, 99999, 519]","['38a947a1', 0.11124, 99999, 511]","['d032c263', 0.02487, 96741, 44112]","['c18be181', 0.03252, 96741, 24570]","['25c83c98', 0.67027, 99999, 136]","['7e0ccccf', 0.38124, 90654, 13]","['1c86e0eb', 0.01812, 99999, 7788]","['0b153874', 0.59487, 99999, 248]","['a73ee510', 0.90717, 99999, 3]","['3b08e48b', 0.22275, 99999, 11554]","['755e4a50', 0.02798, 99999, 3878]","['dfbb09fb', 0.02487, 96741, 40374]","['5978055e', 0.02798, 99999, 2841]","['07d13a8f', 0.34466, 99999, 26]","['2d0bb053', 0.01406, 99999, 5137]","['84898b2a', 0.02488, 96741, 33816]","['e5ba7672', 0.46072, 99999, 10]","['e88ffc9d', 0.03477, 99999, 2551]","['21ddcdc9', 0.34925, 56417, 1292]","['b1252a9d', 0.19087, 56417, 3]","['0014c32a', 0.02487, 96741, 37496]","['ad3062eb', 0.17293, 26467, 10]","['32c7478e', 0.39922, 99999, 14]","['3fdb382b', 0.05392, 96741, 11581]","['001f3601', 0.13993, 56417, 53]","['49d68486', 0.043, 56417, 8891]"
